,year_make_model,price,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,url,VIN,make,model,year,generation
244,2011 subaru forester 2.5x premium awd,7899.0,excellent,4 cylinders,4wd,gas,181176,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2011-subaru-forester-25x/7590700279.html,JF2SHBDC1BH781702,SUBARU,Forester,2011,3.5
142,2011 subaru forester 2.5x premium awd,7899.0,excellent,4 cylinders,4wd,gas,181176,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2011-subaru-forester-clean-title/7590862681.html,JF2SHBDC1BH781702,SUBARU,Forester,2011,3.5
242,2004 Subaru Outback H6-3.0 AWD,6499.0,excellent,6 cylinders,4wd,gas,164785,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2004-subaru-outback-th/7590700240.html,4S3BH815447636136,SUBARU,Legacy,2004,3.5
112,2004 Subaru Outback H6-3.0 AWD,6499.0,excellent,6 cylinders,4wd,gas,164785,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2004-subaru-outback-cyl220hp-2k/7590859155.html,4S3BH815447636136,SUBARU,Legacy,2004,3.5
69,2018 Hyundai Santa Fe,25999.0,excellent,,4wd,gas,54017,blue,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2018-hyundai-santa-fe/7590943670.html,KM8SRDHF4JU273530,HYUNDAI,Santa Fe,2018,3.5
459,2019 TOYOTA HIGHLANDER,25500.0,excellent,6 cylinders,4wd,gas,114759,white,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2019-toyota-highlander-le-free/7590297761.html,5TDBZRFHXKS701970,TOYOTA,Highlander,2019,3.5
236,2004 2004 Subaru Outback Base awd gas,5499.0,excellent,4 cylinders,4wd,gas,156627,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2004-subaru-outback-basenew/7590700111.html,4S3BH675047630670,SUBARU,Legacy,2004,3.5
118,2008 Honda Odyssey EX-L,7999.0,excellent,6 cylinders,,gas,145261,,,,automatic,van,https://denver.craigslist.org/ctd/d/golden-2008-honda-odyssey-exl-ex-ex/7590861243.html,5FNRL38608B401537,HONDA,Odyssey,2008,3.5
429,2017 FORD ESCAPE,16999.0,,,4wd,gas,44900,white,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2017-ford-escape-se-awd-4dr-suv/7590293694.html,1FMCU9GD4HUC10793,FORD,Escape,2017,3.5
376,2019 RAM ProMaster Cargo Van,35998.0,good,6 cylinders,fwd,gas,65628,white,mid-size,clean,automatic,van,https://denver.craigslist.org/ctd/d/denver-2019-ram-promaster-cargo-van/7590261524.html,3C6TRVDG4KE557485,RAM,Promaster 2500,2019,3.5
223,2019 RAM ProMaster Cargo Van,38998.0,good,6 cylinders,rwd,gas,34933,white,mid-size,clean,automatic,van,https://denver.craigslist.org/ctd/d/denver-2019-ram-promaster-cargo-van/7590841730.html,3C6TRVBG6KE556731,RAM,Promaster 1500,2019,3.5
388,2017 Hyundai Santa Fe Sport,14988.0,,4 cylinders,4wd,gas,139497,silver,,clean,other,SUV,https://denver.craigslist.org/ctd/d/denver-2017-hyundai-santa-fe-sport/7590270959.html,5XYZTDLBXHG439313,HYUNDAI,Santa Fe,2017,3.5
